Years_Since_1961,India Population (Millions),India Growth Rate (%),Birth Rate (per 1000),Death Rate (per 1000),World Population (Millions),World Growth Rate (%),Pop_Growth_Abs,Pop_Rolling_3yr,Pop_Rolling_5yr,Growth_Rate_Change,Natural_Increase_Rate,Birth_Rate_Trend,Death_Rate_Trend,World_Pop_Ratio,India_World_Growth_Diff,Urbanization_Rate,Urban_Pop_Millions,Rural_Pop_Millions,Urban_Rural_Ratio,Urb_Rate_Change,Infra_Pressure_Score,School_Pressure,Hospital_Pressure,Road_Pressure,Year
51,1265.78,1.24,19.9,7.3,7089.0,1.22,15.490000000000009,1250.1166666666666,1233.75,-0.06000000000000005,12.599999999999998,20.5,7.3999999999999995,0.17855550853434898,0.020000000000000018,31.583,399.7712974,866.0087026,0.46109260057155044,0.42299999999999827,81.7243239650419,81.06849749916451,72.96164774924806,90.8404561471498,2012
52,1280.84,1.19,19.4,7.3,7176.0,1.22,15.059999999999945,1265.6366666666665,1249.784,-0.050000000000000044,12.099999999999998,19.933333333333334,7.333333333333333,0.17848940914158304,-0.030000000000000027,32.006,409.9456503999999,870.8943495999999,0.47017812489330985,0.4230000000000018,82.29781457410937,83.13172594027697,74.81855334624927,91.92125792121485,2013
53,1295.6,1.15,19.0,7.2,7262.0,1.2,14.759999999999991,1280.74,1265.358,-0.040000000000000036,11.8,19.433333333333334,7.266666666666667,0.17840815202423574,-0.050000000000000044,32.429,420.150124,875.4498759999999,0.47937724164844314,0.4230000000000018,82.9480497867409,85.20106245318365,76.6809562078653,92.98052977946189,2014
54,1310.15,1.12,18.6,7.2,7348.0,1.18,14.550000000000182,1295.53,1280.532,-0.029999999999999805,11.400000000000002,19.0,7.233333333333333,0.17830021774632554,-0.05999999999999983,32.852000000000004,430.41047800000007,879.7395220000001,0.48869213569820935,0.4230000000000018,83.67813556857689,87.28173079530647,78.55355771577582,94.02473069663631,2015
55,1324.52,1.1,18.3,7.2,7434.0,1.17,14.36999999999989,1310.09,1295.378,-0.020000000000000018,11.100000000000001,18.633333333333336,7.2,0.17817056766209308,-0.06999999999999984,33.275,440.73402999999996,883.78597,0.49812502112799095,0.4229999999999947,84.48908150780315,89.375214882177,80.43769339395931,95.05601366431989,2016
56,1338.68,1.07,18.1,7.2,7519.0,1.15,14.160000000000082,1324.45,1309.958,-0.030000000000000027,10.900000000000002,18.333333333333332,7.2,0.1780396329299109,-0.07999999999999985,33.698,451.10838640000003,887.5716136000001,0.5076781426455417,0.4230000000000018,85.2102835560332,91.47900145049417,82.33110130544475,96.07222569093088,2017
57,1352.64,1.04,17.9,7.2,7603.0,1.11,13.960000000000036,1338.6133333333335,1324.318,-0.030000000000000027,10.7,18.099999999999998,7.2,0.17790872024200974,-0.07000000000000006,34.121,461.5342944000001,891.1057056,0.5173538197355074,0.4230000000000018,85.92678969378181,93.59324202284529,84.23391782056076,97.07408444032984,2018
58,1366.42,1.02,17.6,7.3,7684.0,1.07,13.779999999999973,1352.5800000000002,1338.482,-0.020000000000000018,10.3,17.86666666666667,7.233333333333334,0.1778266527850078,-0.050000000000000044,34.544,472.01612479999994,894.4038752000001,0.5271544359740111,0.4229999999999947,86.72400844907376,95.71882294147443,86.14694064732699,98.06302524023798,2019
59,1380.0,0.99,17.4,7.3,7764.0,1.04,13.579999999999927,1366.3533333333335,1352.452,-0.030000000000000027,10.099999999999998,17.63333333333333,7.266666666666667,0.1777434312210201,-0.050000000000000044,34.967,482.5446,897.4554,0.5370824194500917,0.4230000000000018,87.43168602755472,97.85386282796034,88.0684765451643,99.03761276293409,2020
60,1393.41,0.97,17.4,7.3,7837.0,0.94,13.410000000000082,1379.9433333333334,1366.23,-0.020000000000000018,10.099999999999998,17.46666666666667,7.3,0.17779890264131684,0.030000000000000027,35.39,493.12779900000004,900.282201,0.5471402835347905,0.4230000000000018,88.22033898305085,100.0,90.0,100.0,2021
